case,algo,heuristic,ok,pasos,costo,expandidos,ms
0,a*,hamming,True,14,14.0,153,0.8049000171013176
0,a*,manhattan,True,14,14.0,44,0.2794000320136547
0,a*,linear_conflict,True,14,14.0,40,0.609799986705184
0,greedy,hamming,True,118,118.0,974,5.493599979672581
0,greedy,manhattan,True,16,16.0,46,0.33140002051368356
0,greedy,linear_conflict,True,16,16.0,35,0.5865999846719205
1,a*,hamming,True,22,22.0,6061,35.64930002903566
1,a*,manhattan,True,22,22.0,805,5.210300034377724
1,a*,linear_conflict,True,22,22.0,452,6.429799948818982
1,greedy,hamming,True,48,48.0,613,3.2176999957300723
1,greedy,manhattan,True,66,66.0,137,1.0587000288069248
1,greedy,linear_conflict,True,38,38.0,54,0.9700999944470823
2,a*,hamming,True,24,24.0,16439,101.56999999890104
2,a*,manhattan,True,24,24.0,1108,7.299299992155284
2,a*,linear_conflict,True,24,24.0,774,10.987300018314272
2,greedy,hamming,True,52,52.0,605,3.406600037124008
2,greedy,manhattan,True,50,50.0,102,0.8419000077992678
2,greedy,linear_conflict,True,36,36.0,55,1.025900011882186
3,a*,hamming,True,28,28.0,53911,334.3822999740951
3,a*,manhattan,True,28,28.0,1699,11.118200025521219
3,a*,linear_conflict,True,28,28.0,997,13.370800006669015
3,greedy,hamming,True,34,34.0,76,0.5316000315360725
3,greedy,manhattan,True,34,34.0,76,0.611600000411272
3,greedy,linear_conflict,True,34,34.0,51,0.9198000188916922
4,a*,hamming,True,20,20.0,2285,13.244899979326874
4,a*,manhattan,True,20,20.0,239,1.6138000064529479
4,a*,linear_conflict,True,20,20.0,119,1.8589000101201236
4,greedy,hamming,True,102,102.0,829,4.586099996231496
4,greedy,manhattan,True,42,42.0,80,0.6599000189453363
4,greedy,linear_conflict,True,40,40.0,67,1.167299982625991
5,a*,hamming,True,20,20.0,1973,11.15629996638745
5,a*,manhattan,True,20,20.0,79,0.5475999787449837
5,a*,linear_conflict,True,20,20.0,58,0.887200003489852
5,greedy,hamming,True,84,84.0,730,3.9514999953098595
5,greedy,manhattan,True,34,34.0,57,0.4708999767899513
5,greedy,linear_conflict,True,38,38.0,59,1.0553000029176474
6,a*,hamming,True,22,22.0,5476,34.306000045035034
6,a*,manhattan,True,22,22.0,515,3.6000999971292913
6,a*,linear_conflict,True,22,22.0,216,3.0836000223644078
6,greedy,hamming,True,78,78.0,859,4.719399963505566
6,greedy,manhattan,True,46,46.0,138,1.084500050637871
6,greedy,linear_conflict,True,54,54.0,107,1.8446999602019787
7,a*,hamming,True,14,14.0,145,0.8323999936692417
7,a*,manhattan,True,14,14.0,20,0.1514999894425273
7,a*,linear_conflict,True,14,14.0,20,0.3524000057950616
7,greedy,hamming,True,100,100.0,1033,5.733099998906255
7,greedy,manhattan,True,106,106.0,467,3.5124000278301537
7,greedy,linear_conflict,True,34,34.0,101,1.6814999980852008
8,a*,hamming,True,20,20.0,2119,12.298500048927963
8,a*,manhattan,True,20,20.0,136,0.9142999770119786
8,a*,linear_conflict,True,20,20.0,135,1.997399958781898
8,greedy,hamming,True,32,32.0,530,2.8671000036410987
8,greedy,manhattan,True,28,28.0,51,0.4076000186614692
8,greedy,linear_conflict,True,28,28.0,52,0.9137999732047319
9,a*,hamming,True,20,20.0,2425,14.04709997586906
9,a*,manhattan,True,20,20.0,104,0.7302999729290605
9,a*,linear_conflict,True,20,20.0,65,0.9556000004522502
9,greedy,hamming,True,84,84.0,778,4.373000003397465
9,greedy,manhattan,True,38,38.0,405,2.945300017017871
9,greedy,linear_conflict,True,42,42.0,122,1.976699975784868
10,a*,hamming,True,22,22.0,5248,31.58339997753501
10,a*,manhattan,True,22,22.0,468,3.0955999973230064
10,a*,linear_conflict,True,22,22.0,324,4.655099997762591
10,greedy,hamming,True,52,52.0,337,1.915199973154813
10,greedy,manhattan,True,48,48.0,102,0.8163999882526696
10,greedy,linear_conflict,True,50,50.0,102,1.7087000305764377
11,a*,hamming,True,26,26.0,34276,213.26240000780672
11,a*,manhattan,True,26,26.0,3238,22.16489997226745
11,a*,linear_conflict,True,26,26.0,1638,23.30719999736175
11,greedy,hamming,True,150,150.0,1086,6.146700005047023
11,greedy,manhattan,True,52,52.0,416,2.930699964053929
11,greedy,linear_conflict,True,78,78.0,183,3.020699950866401
12,a*,hamming,True,24,24.0,16141,95.71530000539497
12,a*,manhattan,True,24,24.0,1756,12.179400015156716
12,a*,linear_conflict,True,24,24.0,788,11.260600003879517
12,greedy,hamming,True,84,84.0,815,4.499300033785403
